               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.078064,0.034,0,0.694,0.709,0.718,0.333,0.046,0.013,0.000,0.070,0.003,0.003
1,0.053481,0.024,0,0.599,0.630,0.666,0.258,0.048,0.011,0.000,0.040,0.007,0.007
2,0.046247,0.020,0,0.898,0.891,0.908,0.419,0.036,0.010,0.000,0.010,0.010,0.010
3,0.039363,0.018,0,0.944,0.913,0.937,0.573,0.030,0.010,0.000,0.010,0.010,0.010
4,0.034406,0.016,0,0.967,0.908,0.942,0.633,0.027,0.009,0.000,0.010,0.010,0.010
5,0.031097,0.016,0,0.952,0.910,0.938,0.633,0.029,0.009,0.000,0.010,0.010,0.010
6,0.02882,0.015,0,0.966,0.912,0.949,0.677,0.024,0.009,0.000,0.010,0.010,0.010
7,0.02608,0.014,0,0.964,0.917,0.944,0.655,0.024,0.010,0.000,0.010,0.010,0.010
8,0.025583,0.014,0,0.965,0.913,0.945,0.678,0.023,0.010,0.000,0.009,0.009,0.009
9,0.024993,0.014,0,0.974,0.919,0.951,0.699,0.022,0.009,0.000,0.009,0.009,0.009
10,0.02449,0.014,0,0.981,0.893,0.939,0.679,0.025,0.010,0.000,0.009,0.009,0.009
11,0.022708,0.013,0,0.976,0.922,0.949,0.703,0.022,0.009,0.000,0.009,0.009,0.009
12,0.022314,0.013,0,0.976,0.913,0.950,0.714,0.022,0.009,0.000,0.009,0.009,0.009
13,0.021281,0.012,0,0.982,0.909,0.953,0.737,0.020,0.009,0.000,0.009,0.009,0.009
14,0.020798,0.012,0,0.988,0.909,0.952,0.735,0.020,0.009,0.000,0.009,0.009,0.009
15,0.020399,0.012,0,0.984,0.910,0.944,0.741,0.021,0.009,0.000,0.009,0.009,0.009
16,0.020241,0.012,0,0.982,0.911,0.944,0.748,0.020,0.009,0.000,0.009,0.009,0.009
17,0.019554,0.011,0,0.984,0.908,0.938,0.735,0.019,0.010,0.000,0.009,0.009,0.009
18,0.01955,0.012,0,0.984,0.920,0.953,0.739,0.020,0.009,0.000,0.009,0.009,0.009
19,0.018624,0.011,0,0.990,0.923,0.954,0.770,0.019,0.009,0.000,0.009,0.009,0.009
20,0.018413,0.011,0,0.996,0.910,0.959,0.756,0.020,0.009,0.000,0.008,0.008,0.008
21,0.018568,0.011,0,0.988,0.920,0.957,0.761,0.019,0.009,0.000,0.008,0.008,0.008
